stop_id,boardings,alightings,location
1,183.4,150,"{'latitude': '41.87632184', 'longitude': '-87.77410482'}"
2,5.3,0.2,"{'latitude': '41.87706679', 'longitude': '-87.77131794'}"
3,8.3,0.7,"{'latitude': '41.87695725', 'longitude': '-87.76975039'}"
4,17.9,3,"{'latitude': '41.87702418', 'longitude': '-87.76745055'}"
6,74,11.2,"{'latitude': '41.876513', 'longitude': '-87.761446'}"
7,14.3,2.5,"{'latitude': '41.87655197', 'longitude': '-87.75892544'}"
8,62.4,14.1,"{'latitude': '41.876564', 'longitude': '-87.757313'}"
9,0.1,0,"{'latitude': '41.87659463', 'longitude': '-87.75461526'}"
12,0,0,"{'latitude': '41.87662062', 'longitude': '-87.74912362'}"
13,0,0,"{'latitude': '41.87668892', 'longitude': '-87.74701737'}"
14,530.5,145.2,"{'latitude': '41.87676314', 'longitude': '-87.74483066'}"
15,51.6,13.1,"{'latitude': '41.87682975', 'longitude': '-87.74254901'}"
16,16.2,8.1,"{'latitude': '41.87683358', 'longitude': '-87.74058525'}"
17,17.9,5.2,"{'latitude': '41.87685748', 'longitude': '-87.73934698'}"
18,56.4,29.6,"{'latitude': '41.87688572', 'longitude': '-87.73761421'}"
19,95.1,28.2,"{'latitude': '41.87691497', 'longitude': '-87.73515882'}"
20,56.3,31,"{'latitude': '41.876933', 'longitude': '-87.73265'}"
21,49.4,21.5,"{'latitude': '41.876963', 'longitude': '-87.7302'}"
22,25.1,36.1,"{'latitude': '41.8770066', 'longitude': '-87.72780787'}"
23,239.9,122,"{'latitude': '41.87704003', 'longitude': '-87.72532923'}"
24,32.1,16.6,"{'latitude': '41.87706855', 'longitude': '-87.72295441'}"
25,60.3,54.6,"{'latitude': '41.87708065', 'longitude': '-87.72082664'}"
26,40.1,41.3,"{'latitude': '41.87714182', 'longitude': '-87.7154772'}"
27,13.1,17.4,"{'latitude': '41.877181', 'longitude': '-87.713241'}"
29,9.8,35.3,"{'latitude': '41.87723116', 'longitude': '-87.70827664'}"
30,161.5,148.7,"{'latitude': '41.87725804', 'longitude': '-87.70577393'}"
31,20.1,28,"{'latitude': '41.877288', 'longitude': '-87.703323'}"
32,54.8,34.6,"{'latitude': '41.877318', 'longitude': '-87.700867'}"
33,56.7,80.9,"{'latitude': '41.877348', 'longitude': '-87.69841'}"
34,105.4,81.8,"{'latitude': '41.87737082', 'longitude': '-87.69595515'}"
35,30.8,16.8,"{'latitude': '41.87739943', 'longitude': '-87.69355299'}"
36,8.4,8.3,"{'latitude': '41.8774236', 'longitude': '-87.69165753'}"
38,81.3,97.1,"{'latitude': '41.877478', 'longitude': '-87.686093'}"
39,26.6,148.6,"{'latitude': '41.877496', 'longitude': '-87.683652'}"
40,36.1,20.4,"{'latitude': '41.87754396', 'longitude': '-87.68127094'}"
41,32,85.3,"{'latitude': '41.87739502', 'longitude': '-87.67873587'}"
42,60.7,92.9,"{'latitude': '41.877421', 'longitude': '-87.67667235'}"
44,50.7,38.6,"{'latitude': '41.87513747', 'longitude': '-87.67664239'}"
48,1,1.5,"{'latitude': '41.874059', 'longitude': '-87.671334'}"
49,1.6,4.3,"{'latitude': '41.87409', 'longitude': '-87.669231'}"
50,14.8,27,"{'latitude': '41.87508698', 'longitude': '-87.66643194'}"
51,100.9,260.7,"{'latitude': '41.87655158', 'longitude': '-87.66651521'}"
52,82.8,229,"{'latitude': '41.87743988', 'longitude': '-87.67402389'}"
53,23.6,26.8,"{'latitude': '41.87748733', 'longitude': '-87.67103731'}"
54,34.7,35,"{'latitude': '41.8775244', 'longitude': '-87.66899047'}"
55,61.9,88.8,"{'latitude': '41.87755467', 'longitude': '-87.66689065'}"
56,66.6,27.1,"{'latitude': '41.87759', 'longitude': '-87.664068'}"
57,9.9,15.6,"{'latitude': '41.877634', 'longitude': '-87.661652'}"
59,96,41.9,"{'latitude': '41.87772931', 'longitude': '-87.65677916'}"
60,24.9,6.5,"{'latitude': '41.877751', 'longitude': '-87.654338'}"
61,36.9,15.3,"{'latitude': '41.87780698', 'longitude': '-87.65169869'}"
63,69.7,83,"{'latitude': '41.87784819', 'longitude': '-87.64946073'}"
